go	geh
i refuse	ich weigere mich
i resign	ich trete zuruck
i shaved	ich rasierte mich
i shaved	ich habe mich rasiert
i smiled	ich lachelte
i stayed	ich blieb
i stayed	ich bin dageblieben
i use it	ich benutze es
i waited	ich habe gewartet
i yawned	ich gahnte
i yawned	ich habe gegahnt
ill pay	ich werde zahlen
ill try	ich werde es versuchen
im a dj	ich bin dj
im back	ich bin wieder da
im bald	ich bin glatzkopfig
im bald	ich habe eine glatze
im busy	ich bin beschaftigt
im busy	ich habe zu tun
im deaf	ich bin taub
im deaf	ich bin gehorlos
im fair	ich bin gerecht
im fine	mir gehts gut
im fine	mir geht es gut
im fine	es geht mir gut
im free	ich bin frei
im full	ich bin satt
im game	ich bin dabei
im game	ich mache mit
im good	mir gehts gut
im here	ich bin hier
im home	ich bin zu hause
im late	ich komme zu spat
im lost	ich habe mich verirrt
im mean	ich bin gemein
im next	ich bin der nachste
im okay	es geht mir gut
im rich	ich bin reich
im safe	ich bin sicher
im sick	ich bin krank
im sure	ich bin sicher
im tall	ich bin gro
im thin	ich bin dunn
im tidy	ich bin ordentlich
im ugly	ich bin hasslich
im weak	ich bin schwach
im well	mir geht es gut
it helps	das hilft
it hurts	es tut weh
it hurts	es schmerzt
it works	es klappt
it works	es funktioniert
its tom	es ist tom
its his	es ist seins
its hot	es ist hei
its hot	sie ist hei
its hot	er ist hei
its new	es ist neu
its sad	es ist traurig
keep out	eintritt verboten
keep out	komm nicht herein
keep out	kein zutritt
kiss tom	kusse tom
kiss tom	kussen sie tom
kiss tom	kusst tom
leave us	geh weg
leave us	gehen sie weg
leave us	lass uns allein
leave us	lassen sie uns allein
lets go	lass uns gehen
lets go	auf gehts
lets go	gehen wir
lets go	lasst uns gehen
lets go	lass uns losgehen
lets go	lasst uns losgehen
lets go	auf auf
look out	vorsicht
marry me	heirate mich
may i go	darf ich gehen
save tom	rette tom
save tom	rettet tom
save tom	retten sie tom
she came	sie kam
she lied	sie log
she runs	sie rennt
sit down	setz dich
sit down	setzen sie sich
sit down	setz dich
speak up	sprich lauter
stand up	stehen sie auf
stand up	steht auf
stand up	stehe auf
stand up	steh auf
stop tom	halte tom auf
stop tom	halten sie tom auf
stop tom	haltet tom auf
take tom	nimm tom
taste it	probier es mal
tell tom	sag es tom
tell tom	sagen sie es tom
tell tom	erzahl es tom
tell tom	erzahlen sie tom davon
tell tom	sagt es tom
terrific	hervorragend
terrific	sagenhaft
terrific	wunderbar
they won	sie haben gewonnen
tom came	tom kam
tom came	tom ist gekommen
tom died	tom ist gestorben
tom died	tom starb
tom fell	tom fiel
tom fell	tom ist gefallen
tom knew	tom wusste es
tom knew	tom hat es gewusst
tom knew	tom wusste bescheid
tom left	tom ist gegangen
tom left	tom ging
tom lied	tom log
tom lies	tom lugt
tom lost	tom hat verloren
tom paid	tom hat gezahlt
tom quit	tom hat aufgehort
tom swam	tom schwamm
tom swam	tom ist geschwommen
tom wept	tom weinte
toms up	tom ist auf
too late	zu spat
touch it	fass es an
trust me	vertraue mir
trust me	vertraut mir
trust me	vertrauen sie mir
try hard	versuch es richtig
try some	probier mal
try this	probier mal
use this	nimm das hier
warn tom	warnen sie tom
warn tom	warne tom
watch me	schau mir zu
watch me	schauen sie mir zu
watch us	beobachte uns
watch us	beobachten sie uns
watch us	schau uns zu
watch us	schaut uns zu
watch us	schauen sie uns zu
watch us	beobachtet uns
we agree	wir stimmen zu
we agree	wir sind einverstanden
we tried	wir haben es versucht
we tried	wir versuchten es
well go	wir werden gehen
were ok	wir sind in ordnung
what for	wozu
what fun	was fur ein spa
who am i	wer bin ich
who came	wer ist gekommen
who came	wer kam
who died	wer ist gestorben
who fell	wer fiel
who fell	wer ist gefallen
who quit	wer hat aufgehort
who quit	wer ist ausgeschieden
who swam	wer schwamm
who swam	wer ist geschwommen
whos he	wer ist er
write me	schreib mir
write me	schreiben sie mir
write me	schreibt mir
you lost	sie haben verloren
you lost	du hast verloren
you lost	ihr habt verloren
aim fire	zielen feuer
am i dead	bin ich tot
am i late	bin ich zu spat
answer me	antworten sie mir
be seated	setz dich
be seated	setzen sie sich
birds fly	vogel fliegen
bless you	gesundheit
call home	ruf zuhause an
call home	rufen sie zuhause an
calm down	beruhige dich
calm down	beruhige dich
calm down	beruhigen sie sich
calm down	beruhigen sie sich
can i eat	kann ich essen
can we go	konnen wir gehen
catch tom	fang tom
catch tom	fange tom
catch tom	fangen sie tom
catch tom	fangt tom
chill out	entspann dich
come back	komm wieder
come here	komm hierher
come here	komm her
come home	kommt heim
come home	komm heim
come over	komm hierher
come over	komm her
come soon	komm bald
come soon	kommen sie bald
cool down	beruhige dich
did i win	habe ich gewonnen
do it now	mach es jetzt
dogs bark	hunde bellen
dont ask	frag nicht
dont cry	weine nicht
dont cry	weint nicht
dont cry	weinen sie nicht
dont cry	weinen sie nicht
dont cry	weint nicht
dont die	stirb nicht
dont lie	luge nicht
dont run	lauf nicht
excuse me	es tut mir leid
excuse me	entschuldigung
excuse me	entschuldigung
excuse me	entschuldigen sie
fantastic	fantastisch
fantastic	ganz toll
feel this	fuhl mal
follow me	folge mir
forget it	vergiss es
forget it	daraus wird nichts
forget it	vergiss es
forget it	das kannst du knicken
get ready	mach dich bereit
get ready	mach dich fertig
go for it	nur zu
go for it	tue es
go get it	hols dir
go inside	geh rein
go inside	komm rein
go to bed	geh schlafen
go to bed	geh ins bett
go to bed	geht ins bett
go to bed	legt euch schlafen
goodnight	gute nacht
goodnight	schonen abend
grab that	nimm das
grab that	hol das
hands off	hande weg
have some	nimm dir davon
have some	nehmen sie davon
he is ill	er ist krank
he is old	er ist alt
he smiled	er lachelte
hes a dj	er ist dj
hes a dj	er ist plattenaufleger
hes fast	er ist schnell
hes good	er ist gut
hes lazy	er ist trage
hes rich	er ist reich
hes sexy	er ist sexy
here i am	hier bin ich
heres	hier sind funf dollar
hold fire	nicht schieen
hold this	halt das
hold this	halt das mal
hold this	halten sie das
hold this	haltet das
how awful	schrecklich
how is it	wie ist die lage
how weird	wie seltsam
humor tom	lass tom doch seinen willen
humor tom	lasst tom doch seinen willen
i am lost	ich habe mich verirrt
i am okay	es geht mir gut
i am sure	ich bin sicher
i am tall	ich bin gro
i am well	mir geht es gut
i am well	es geht mir gut
i can fly	ich kann fliegen
i can run	ich kann laufen
i can run	ich kann rennen
i can ski	ich kann ski fahren
i can win	ich kann gewinnen
i changed	ich anderte
i cheated	ich habe geschummelt
i clapped	ich klatschte
i fainted	ich wurde ohnmachtig
i fainted	ich fiel in ohnmacht
i fear so	ich furchte ja
i gave up	ich habe aufgegeben
i gave up	ich gab auf
i get you	ich verstehe was du meinst
i giggled	ich kicherte
i give in	ich gebe nach
i give in	ich fuge mich
i got mad	ich wurde wutend
i got mad	ich wurde bose
i had fun	ich hatte spa
i had fun	ich habe mich amusiert
i hit tom	ich habe tom geschlagen
i hope so	das hoffe ich
i hope so	ich hoffe es
i hung up	ich habe aufgelegt
i knew it	ich wusste es
i knew it	ich wusste das
i laughed	ich lachte
i like it	das gefallt mir
i lost it	ich habe ihn verloren
i love it	ich liebe es
i love it	ich liebe es
i made it	ich habe es gemacht
i made it	ich habe es geschafft
i may win	vielleicht gewinne ich
i mean it	ich meine es so
i mean it	ich meine es ernst
i mean it	ich meine es ernst
i mean it	es ist ernst gemeint von mir
i met tom	ich habe tom getroffen
i met tom	ich traf tom
i met tom	ich bin tom begegnet
i met him	ich habe ihn getroffen
i miss it	ich vermisse es
i miss it	es fehlt mir
i promise	ich versprechs
i promise	ich verspreche es
i said no	ich sagte nein
i saw tom	ich habe tom gesehen
i saw him	ich habe ihn gesehen
i saw one	ich habe einen gesehen
i saw you	ich habe dich gesehen
i saw you	ich habe euch gesehen
i saw you	ich habe sie gesehen
i see tom	ich sehe tom
i took it	ich nahm es
i took it	ich habe es genommen
i want it	ich mochte es
i want it	ich will es
i was new	ich war neu
i was shy	ich war schuchtern
i will go	ich gehe
i will go	ich werde gehen
i woke up	ich wachte auf
id do it	ich wurde es tun
id leave	ich wurde gehen
ill call	ich werde anrufen
ill come	ich werde kommen
ill cook	ich werde kochen
ill help	ich helfe
ill live	ich werde leben
ill obey	ich werde gehorchen
ill quit	ich werde aufhoren
ill quit	ich werde abbrechen
ill sing	ich werde singen
ill stay	ich werde bleiben
ill stop	ich werde aufhoren
ill talk	ich werde reden
ill wait	ich werde warten
ill walk	ich gehe zu fu
im a man	ich bin ein mann
im angry	ich bin sauer
im awake	ich bin wach
im blind	ich bin blind
im bored	ich bin gelangweilt
im bored	mir ist langweilig
im broke	ich bin knapp bei kasse
im broke	ich bin pleite
im crazy	ich bin verruckt
im cured	ich bin geheilt
im drunk	ich bin betrunken
im drunk	ich bin blau
im dying	ich werde bald sterben
im early	ich bin fruh dran
im first	ich bin erster
im first	ich bin erste
im going	ich gehe jetzt
im happy	ich bin glucklich
im happy	ich bin froh
im lying	ich luge
im needy	ich bin bedurftig
im obese	ich bin fett
im picky	ich bin pingelig
im picky	ich bin wahlerisch
im ready	ich bin soweit
im ready	ich bin soweit
im ready	ich bin so weit
im right	ich habe recht
im right	ich habe recht
im sober	ich bin nuchtern
im sorry	es tut mir leid
im sorry	entschuldigung
im stuck	ich stecke fest
im tired	ich bin mude
im tired	ich bin mude
im tough	ich bin zah
im upset	ich bin verargert
im upset	ich bin besturzt
im yours	ich gehore dir
ive lost	ich habe verloren
ignore it	beachte es gar nicht
ignore it	beachten sie es gar nicht
is tom ok	ist tom okay
is tom in	ist tom da
is he tom	ist er tom
is it bad	ist es schlimm
is it far	ist das weit
is it hot	ist es hei
is it new	ist es neu
it burned	es brannte
it burned	es verbrannte
it snowed	es hat geschneit
it stinks	da ist doch was faul
it worked	es hat geklappt
it worked	das hat funktioniert
its	es ist halb vier
its	es ist uhr
its	es ist sieben uhr funfundvierzig
its	es ist uhr
its	es ist viertel nach neun
its	es ist
its a tv	das ist ein fernseher
its cold	es ist kalt
its cool	es ist kuhl
its dark	es ist dunkel
its easy	das ist einfach
its easy	es ist einfach
its fair	es ist gerecht
its free	es ist frei
its hard	das ist hart
its here	es ist hier
its late	es ist spat
its mine	es ist meins
its mine	sie gehort mir
its mine	er gehort mir
its okay	es ist in ordnung
its open	es ist geoffnet
its ours	es ist unsers
its over	es ist vorbei
its sand	es ist sand
its true	es ist wahr
its work	es ist arbeit
its work	das ist meine arbeit
jump down	spring runter
just swim	schwimm einfach
keep away	bleib weg
keep away	bleibt weg
keep away	bleiben sie weg
keep back	bleiben sie zuruck
keep calm	bleib ruhig
keep calm	bleiben sie ruhig
keep cool	bleib gelassen
keep down	bleib unten
keep that	behalts
keep them	behalte sie
keep them	behalten sie sie
keep them	behaltet sie
keep them	behalt sie
keep warm	halt dich warm
keep warm	haltet euch warm
keep warm	halten sie sich warm
leave tom	verlasse tom
leave tom	verlassen sie tom
leave now	geh jetzt
leave now	geht jetzt
let it be	lass es sein
let it be	lass es bleiben
let me be	lass mich in ruhe
let me go	lassen sie mich gehen
let me go	lass mich gehen
let me in	lass mich herein
let us go	lass uns gehen
let us go	lassen sie uns gehen
lets eat	essen wir etwas
lets see	schauen wir mal
lets try	lasst es uns versuchen
lets try	lass es uns versuchen
lets try	lass es uns probieren
lie still	lieg still und beweg dich nicht
listen up	hor zu
look away	schau weg
look back	schau nach hinten
look back	schau hinter dich
look down	guck runter
look here	schau hier
look here	schau her
loosen it	dreh es auf
loosen up	mach dich locker
move over	rutsch mal ein stuck
nice shot	guter schuss
of course	naturlich
of course	selbstverstandlich
of course	auf jeden fall
of course	na klar
of course	aber sicher doch
please go	bitte geh
please go	bitte geht
please go	bitte gehen sie
put it on	setz es auf
put it on	tu es drauf
put it on	setz ihn auf
put it on	zieh sie an
put it on	setz sie auf
put it on	setz sie dir auf
put it on	zieh sie dir an
put it on	setz ihn dir auf
read this	lies das hier
say aah	sag ah
say hello	sag hallo
see below	siehe unten
seize him	fass ihn
seize him	fassen sie ihn
seize him	fasst ihn
seriously	wirklich
seriously	echt
seriously	ernsthaft
seriously	im ernst
she cried	sie weinte
she tried	sie hats versucht
she walks	sie geht
she walks	sie geht zu fu
sign here	unterschreibe hier
sign here	unterschreiben sie hier
sign this	unterschreiben sie das
sign this	unterschreib das
sit by me	setz dich zu mir
sit still	sitz still
sit still	sitzen sie still
sit there	setz dich dorthin
sit tight	harre aus
start now	beginnen sie jetzt
start now	fang jetzt an
stay away	bleiben sie weg
stay back	bleibt zuruck
stay calm	bleib ruhig
stay calm	bleiben sie ruhig
stay cool	bleib ruhig
stay cool	bleibt ruhig
stay cool	bleiben sie ruhig
stay cool	bleib cool
stay cool	bleibt cool
stay down	bleib unten
stay down	bleib unten
stay thin	bleiben sie dunn
stay thin	bleib dunn
step back	tritt zuruck
stop here	hor hier auf
stop here	halte hier
stop here	halte hier an
stop here	bleib hier stehen
stop that	lass das
stop that	hor auf damit
stop that	hor mal auf
stop that	hor mal auf damit
stop them	stopp sie
stop them	stoppen sie sie
take care	pass auf dich auf
take care	machs gut
take mine	nimm meins
take mine	nimm meine
take mine	nimm meinen
take mine	nehmt meins
take mine	nehmt meine
take mine	nehmt meinen
take mine	nehmen sie meins
take mine	nehmen sie meinen
take mine	nehmen sie meine
take over	ubernimm du
take over	ubernehmt ihr
take over	ubernehmen sie
take this	nimm das
thank you	danke
thats ok	das ist in ordnung
thats ok	das ist ok
thats it	das wars
thats me	das bin ich
thats me	ich bin jetzt fertig
then what	na und
they fell	sie fielen
they fell	sie sturzten
they lied	sie haben gelogen
they lost	sie verloren
they lost	sie haben verloren
they swam	sie schwammen
times up	die zeit ist um
tom bowed	tom verneigte sich
tom cried	tom weinte
tom dozed	tom doste
tom drove	tom fuhr
tom froze	tom erstarrte
tom is ok	tom ist in ordnung
tom is in	tom ist hier
tom is up	tom ist auf
tom knits	tom strickt
tom knows	tom wei es
tom moved	tom bewegte sich
tom rocks	tom ist super
tom slept	tom schlief
tom spoke	tom hat gesprochen
tom spoke	tom sprach
tom stood	tom stand auf
tom swims	tom schwimmt
tom swore	tom fluchte
tom tried	tom versuchte es
tom tried	tom hat es versucht
tom tries	tom versucht es
tom voted	tom hat gewahlt
tom voted	tom wahlte
tom walks	tom geht zu fu
tom waved	tom winkte
tom works	tom arbeitet
tomll go	tom wird gehen
toms fat	tom ist dick
toms mad	tom ist wutend
toms sad	tom ist traurig
toms shy	tom ist schuchtern
trust tom	vertraue tom
trust tom	vertrauen sie tom
trust tom	vertraut tom
try again	versuchen sie es noch einmal
try again	versuch es noch einmal
try again	versucht es noch mal
try it on	probier es an
try it on	probier sie an
try it on	probier ihn an
unlock it	schlie es auf
unlock it	entsperr es
watch tom	sieh tom zu
watch tom	sehen sie tom zu
watch tom	seht tom zu
we agreed	wir waren uns einig
we agreed	wir stimmten zu
we can go	wir konnen gehen
we did it	wir haben es geschafft
we did it	wir haben es geschafft
we failed	wir sind gescheitert
we failed	wir haben versagt
we forgot	wir haben es vergessen
we saw it	wir sahen es
we saw it	wir haben es gesehen
we talked	wir haben uns unterhalten
we waited	wir warteten
we walked	wir sind zu fu gegangen
well see	wir werden sehen
well try	wir werden es versuchen
well win	wir werden siegen
were hot	uns ist hei
were sad	wir sind traurig
were shy	wir sind schuchtern
weve won	wir haben gewonnen
well done	gut gemacht
whats on	was ist los
whats up	was ist los
whats up	na wie gehts
who cares	wen kummerts
who cares	wen kummert das schon
who is he	wer ist er
who spoke	wer hat gesprochen
who spoke	wer sprach
who stood	wer stand
wholl go	wer geht
wholl go	wer wird gehen
whos she	wer ist sie
wonderful	wunderbar
wonderful	herrlich
write tom	schreibe tom
write tom	schreiben sie tom
write tom	schreibt tom
you drive	du fahrst
you drive	sie fahren
you idiot	du idiot
you start	du fangst an
you stink	du stinkst
you stink	ihr stinkt
you stink	sie stinken
you tried	du hasts versucht
youre ok	du bist okay
aim higher	ziel hoher
aim higher	zielen sie hoher
aim higher	zielt hoher
all aboard	alle mann an bord
am i dying	sterbe ich
am i early	bin ich fruh dran
am i fired	bin ich gefeuert
am i hired	bin ich eingestellt
am i right	habe ich recht
am i right	liege ich richtig
am i weird	bin ich komisch
am i wrong	hab ich nicht recht
am i wrong	irre ich mich
answer tom	antworte tom
answer tom	antworten sie tom
answer tom	antwortet tom
are you	bist du
are you ok	geht es dir gut
are you ok	geht es euch gut
are you ok	geht es ihnen gut
are you in	bist du dabei
are you up	bist du auf
ask anyone	frag irgendwen
ask around	frag herum
ask around	fragen sie herum
ask around	fragt herum
be careful	vorsicht
be careful	sei vorsichtig
be careful	sieh dich vor
be careful	gib obacht
be careful	gib acht
be careful	gib acht
be patient	sei geduldig
be serious	bleib mal auf dem boden der tatsachen
birds sing	vogel singen
bottoms up	zum wohl
bring help	hol hilfe
bring wine	bring wein
can i come	kann ich kommen
can i come	darf ich kommen
can i help	kann ich helfen
can i help	kann ich mich nutzlich machen
can i sing	kann ich singen
can i stay	kann ich bleiben
carry this	trag das
check that	prufe das nach
check that	prufen sie das nach
check this	uberprufen sie das
choose one	suche eines aus
choose one	such dir eine aus
come again	komm wieder
come again	kommt wieder
come again	kommen sie wieder
come alone	komm allein
come alone	kommen sie allein
come alone	kommt allein
come along	komm mit
come along	kommt mit
come early	kommen sie fruhzeitig
come early	komm fruhzeitig
come on in	komm rein
come on in	komm doch herein
come on in	komm herein
come quick	komm schnell
come quick	kommt schnell
come quick	kommen sie schnell
come to me	komm zu mir
come to us	komm zu uns
definitely	auf jeden fall
destroy it	mach es kaputt
did tom go	ist tom hingegangen
did tom go	ist tom gegangen
dig faster	grab schneller
do come in	kommen sie doch rein
do come in	komm doch rein
do come in	kommen sie bitte herein
do men cry	weinen manner
dont brag	gib nicht an
dont come	komm nicht
dont come	kommt nicht
dont come	kommen sie nicht
dont jump	spring nicht
dont look	nicht gucken
dont move	bewegt euch nicht
dont move	nicht bewegen
dont peek	nicht gucken
dont push	nicht schubsen
dont sing	sing nicht
dont stop	hor nicht auf
dont talk	nicht reden
dont talk	sag nichts
dont wait	warte nicht
dont wait	wartet nicht
dont wait	warten sie nicht
dont yell	schrei nicht
dont yell	schreien sie nicht
dont yell	schreit nicht
drink this	trink das
drink this	trink das hier
duty calls	die pflicht ruft
eat slowly	iss langsam
examine it	untersuchen sie es
fill it up	volltanken
find a job	such dir einen job
find a job	besorgt euch einen job
find a job	suchen sie sich arbeit
fire burns	feuer brennt
follow tom	folge tom
follow tom	folgen sie tom
follow tom	folgt tom
follow him	folge ihm
forget tom	vergiss tom
forget him	vergessen sie ihn
forgive us	vergib uns
get a life	hast du nichts anderes zu tun
get a life	hast du nichts anderes zu tun
get inside	komm herein
get moving	beweg dich
get off me	lass mich in ruhe
give it up	gib es auf
go on home	geh nach hause
go see tom	geh zu tom
go to work	geh arbeiten
go to work	gehe arbeiten
god exists	gott existiert
good night	gute nacht
have faith	hab vertrauen
he gave in	er gab auf
he gave up	er gab auf
he got a d	er bekam ein ausreichend
he got a d	er bekam eine vier
he hung up	er legte auf
he hung up	er hat aufgelegt
he is a dj	er ist ein dj
he is a dj	er ist dj
he is busy	er ist beschaftigt
he is here	er ist hier
he is kind	er ist freundlich
he is kind	er ist liebenswurdig
he is mean	er ist gemein
he is mean	er ist fies
he is poor	er ist arm
he is sick	er ist krank
he is tall	er ist gro
he laughed	er lachte
he laughed	er hat gelacht
he made it	er schaffte es
hes swiss	er ist schweizer
hes cruel	er ist grausam
hes lying	er lugt
hes smart	er ist klug
hes smart	er ist elegant
hello tom	hallo tom
here he is	er ist hier
here it is	hier ist es
here we go	los gehts
here we go	jetzt gehts los
heres tom	hier ist tom
hold still	halt still
hold still	halten sie still
hold still	haltet still
hold tight	halt dich fest
how absurd	so ein unsinn
how absurd	wie absurd
how boring	wie langweilig
how clever	wie schlau
how clever	wie geschickt
how clever	wie klug
how lovely	wie nett
how tragic	wie tragisch
how was it	wir war es
hows work	wie lauft die arbeit
hurry home	geh schnell nach hause
hurry home	gehen sie schnell nach hause
i admit it	ich geb es zu
i am a boy	ich bin ein junge
i am a man	ich bin ein mann
i am a man	ich bin ein mensch
i am happy	ich bin glucklich
i am happy	ich bin froh
i am human	ich bin menschlich
i am ready	ich bin bereit
i am ready	ich bin fertig
i am ready	ich bin soweit
i am right	ich habe recht
i am right	ich habe recht
i broke it	ich habe es kaputtgemacht
i built it	ich habe es gebaut
i built it	ich habe ihn gebaut
i built it	ich habe sie gebaut
i can come	ich kann kommen
i can cook	ich kann kochen
i can jump	ich kann springen
i can sing	ich kann singen
i can stay	ich kann bleiben
